id,ra,dec,maj_ax,min_ax
NGC389,01:08:29.93,+39:41:43.6,1.26,0.46
NGC390,01:07:53.75,+32:25:59.2,,
NGC391,01:07:22.58,+00:55:33.4,0.98,0.74
NGC392,01:08:23.46,+33:08:01.0,1.36,0.93
NGC393,01:08:36.95,+39:38:39.5,1.64,1.34
NGC394,01:08:26.05,+33:08:52.7,0.64,0.34
NGC395,01:05:08.32,-71:59:26.6,1.5,1.1
NGC396,01:08:08.40,+04:31:51.1,0.62,0.3
NGC397,01:08:31.10,+33:06:33.1,0.65,0.5
NGC398,01:08:53.67,+32:30:52.3,0.83,0.49
NGC399,01:08:59.20,+32:38:03.5,1.12,0.76
NGC400,01:09:02.49,+32:43:56.7,,
NGC401,01:09:07.72,+32:45:33.6,,
NGC402,01:09:13.36,+32:48:22.5,,
NGC403,01:09:14.16,+32:45:07.7,2.4,0.79
NGC404,01:09:27.02,+35:43:05.3,3.4,3.37
NGC405,01:08:34.11,-46:40:06.6,,
NGC406,01:07:25.05,-69:52:45.0,2.44,1.1
NGC407,01:10:36.56,+33:07:35.4,2.0,0.29
NGC408,01:10:51.09,+33:09:04.6,,
NGC409,01:09:33.22,-35:48:20.2,1.36,1.15
NGC410,01:10:58.90,+33:09:06.8,2.37,1.6
NGC411,01:07:55.67,-71:46:06.1,2.1,1.9
NGC412,01:10:20.48,-20:00:56.9,,
NGC413,01:12:31.40,-02:47:36.3,1.05,0.67
NGC414,01:11:17.80,+33:06:46.0,0.75,
NGC0414 NED01,01:11:17.48,+33:06:50.0,0.74,0.34
NGC0414 NED02,01:11:17.95,+33:06:44.1,0.45,0.38
NGC415,01:10:05.69,-35:29:26.8,1.57,0.74
NGC416,01:07:58.50,-72:21:18.2,1.7,1.7
NGC417,01:11:05.56,-18:08:54.0,1.08,0.81
NGC418,01:10:35.62,-30:13:16.6,1.98,1.3
NGC419,01:08:17.17,-72:53:00.6,2.8,2.8
NGC420,01:12:09.65,+32:07:23.4,1.38,1.05
NGC421,01:12:14.46,+32:07:24.6,,
NGC422,01:09:25.39,-71:46:02.0,1.0,1.0
NGC423,01:11:22.21,-29:14:04.3,0.9,0.6
NGC424,01:11:27.63,-38:05:00.5,1.66,0.68
NGC425,01:13:02.56,+38:46:06.1,0.89,0.84
NGC426,01:12:48.61,-00:17:24.7,1.2,0.89
NGC427,01:12:19.24,-32:03:40.2,1.1,0.66
NGC428,01:12:55.71,+00:58:53.6,2.82,2.08
NGC429,01:12:57.42,-00:20:42.0,1.51,0.31
NGC430,01:12:59.93,-00:15:09.0,1.18,0.81
NGC431,01:14:04.54,+33:42:15.1,1.16,0.67
NGC432,01:11:46.26,-61:31:39.5,1.32,1.07
NGC433,01:15:09.26,+60:07:32.8,3.6,
NGC434,01:12:14.13,-58:14:52.7,2.24,1.24
NGC0434A,01:12:29.62,-58:12:34.2,1.19,0.24
NGC435,01:13:59.85,+02:04:17.2,1.1,0.43
NGC436,01:15:57.78,+58:49:01.6,5.7,
NGC437,01:14:22.29,+05:55:36.8,1.73,1.37
NGC438,01:13:34.16,-37:54:05.9,1.35,0.77
NGC439,01:13:47.26,-31:44:49.7,3.38,2.14
NGC440,01:12:48.50,-58:16:56.2,1.06,0.64
NGC441,01:13:51.26,-31:47:18.0,1.51,1.36
NGC442,01:14:38.65,-01:01:14.3,1.16,0.69
NGC443,01:15:07.59,+33:22:38.4,0.82,0.72
NGC444,01:15:49.60,+31:04:48.9,1.57,0.34
NGC445,01:14:52.48,+01:55:02.8,0.79,0.53
