designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC  263,N/A,MCG - 2- 3- 21,Galaxy,CET,14,-,0.7',00 48.8,-13 06,12.201958333333335,-13.107388888888888,Sbc
NGC  264,N/A,ESO 295- 6,Galaxy,SCL,13.4,12,1.1',00 48.3,-38 14,12.087250000000001,-38.23436111111111,SO
NGC  266,N/A,UGC   508,Galaxy,PSC,11.6,13.8,2.9',00 49.8,+32 17,12.449166666666665,32.27772222222222,SBab
NGC  268,N/A,MCG - 1- 3- 17,Galaxy,CET,13.1,13.6,1.6',00 50.2,-05 12,12.539833333333334,-5.193722222222222,SBbc
NGC  270,N/A,MCG - 2- 3- 27,Galaxy,CET,12.9,-,1.8',00 50.5,-08 39,12.6355,-8.65163888888889,Sa
NGC  271,N/A,UGC   519,Galaxy,CET,12,13.3,2.2',00 50.7,-01 55,12.674416666666668,-1.91025,SBab
NGC  272,N/A,OCL  312,Opn CL,AND,8.5,-,N/A,00 51.4,+35 49,12.854833333333334,35.82175,IV 1 p
NGC  273,N/A,MCG - 1- 3- 19,Galaxy,CET,12.9,13.2,2.1',00 50.8,-06 53,12.701875000000001,-6.885694444444444,SO
NGC  274,N/A,MCG - 1- 3- 21,Galaxy,CET,11.8,12.6,1.9',00 51.0,-07 03,12.75775,-7.0569444444444445,E1
NGC  275,N/A,VV 81;Arp 140,Galaxy,CET,12.5,12.9,1.5',00 51.1,-07 04,12.7675,-7.066666666666666,Sbp
NGC  277,N/A,MCG - 2- 3- 28,Galaxy,CET,13.4,-,1.4',00 51.3,-08 36,12.821791666666668,-8.596833333333334,E-SO
NGC  278,N/A,UGC   528,Galaxy,CAS,10.8,12.2,2.4',00 52.1,+47 33,13.017958333333333,47.5505,SBb
NGC  279,N/A,UGC   532,Galaxy,CET,12.7,13.3,1.6',00 52.1,-02 13,13.037291666666667,-2.2184444444444447,Sa
NGC  280,N/A,UGC   534,Galaxy,AND,13.2,13.8,1.7',00 52.5,+24 21,13.126083333333334,24.350583333333336,SB Ring
